wow	20260307-1717-bundle-wow	20260307-1717	wow/active/20260307-1714_wow-program-promotion-workflow-plan.md
20260227-ana	20260227-ana_module-expansion	20260308-0003	wow/completed/20260227-0310_ana_module-expansion
20260227-dic	20260227-dic_framework-tests-fix	20260308-0003	wow/completed/20260227-0310_dic_framework-tests-fix
20260227-doc	20260227-doc_overhaul	20260308-0003	wow/completed/20260227-0310_doc_overhaul
20260228-ana	20260228-ana_rdp-callsite-profiles-implementation	20260308-0003	wow/completed/20260228-1457_ana_rdp-callsite-profiles-implementation
20260228-doc	20260228-doc_json-temp-namespacing-plan	20260308-0003	wow/completed/20260228-2234_doc_json-temp-namespacing-plan
20260228-spec	20260228-spec_hierarchy-and-enforcement-plan	20260308-0003	wow/completed/20260228-1435_spec_hierarchy-and-enforcement-plan
20260301-arc	20260301-arc_docs-quality-upgrade	20260308-0003	wow/completed/20260301-1657_arc_docs-quality-upgrade
20260301-bootstrapper	20260301-bootstrapper_performance-renewal	20260308-0003	wow/completed/20260301-2328_bootstrapper_performance-renewal
20260301-dep	20260301-dep_pipeline-ref-expansion	20260308-0003	wow/completed/20260301-0045_dep_pipeline-ref-expansion
20260301-err	20260301-err_pipeline-ref-expansion	20260308-0003	wow/completed/20260301-0148_err_pipeline-ref-expansion
20260301-man	20260301-man_decision-flow-diagrams-plan	20260308-0003	wow/completed/20260301-2006_man_decision-flow-diagrams-plan
20260301-scp	20260301-scp_pipeline-ref-expansion	20260308-0003	wow/completed/20260301-0133_scp_pipeline-ref-expansion
20260301-stats	20260301-stats_generator-improvement-plan	20260308-0003	wow/completed/20260301-0418_stats_generator-improvement-plan
20260301-tst	20260301-tst_pipeline-ref-expansion	20260308-0003	wow/completed/20260301-0113_tst_pipeline-ref-expansion
20260302-opencode	20260302-opencode_account-attribution	20260308-0003	wow/completed/20260302-0017_opencode_account-attribution
20260303-bootstrap	20260303-bootstrap_architectural-restructure-plan	20260308-0003	wow/completed/20260303-0139_bootstrap_architectural-restructure-plan
20260304-antigravity	20260304-antigravity_account-reload-persistence	20260308-0003	wow/completed/20260304-0227_antigravity_account-reload-persistence
20260304-dev	20260304-dev_oar-oad-removal-native-opencode	20260308-0003	wow/completed/20260304-2305_dev_oar-oad-removal-native-opencode
20260304-lazy	20260304-lazy_map-sync-requirement-gap	20260308-0003	wow/completed/20260304-0156_lazy_map-sync-requirement-gap
20260304-logging	20260304-logging_performance-renewal	20260308-0003	wow/completed/20260304-2356_logging_performance-renewal
20260304-openai	20260304-openai_account-visibility-in-osv	20260308-0003	wow/completed/20260304-0229_openai_account-visibility-in-osv
20260304-strict	20260304-strict_mode-design-classification-mismatch-issue	20260308-0003	wow/completed/20260304-0248_strict_mode-design-classification-mismatch-issue
20260305-logging	20260305-logging_architectural-restructure	20260308-0003	wow/completed/20260305-0247_logging_architectural-restructure
20260305-restore	20260305-restore_dev-oar-dev-oad	20260308-0003	wow/completed/20260305-2251_restore_dev-oar-dev-oad
20260305-session	20260305-session_user-attribution-mismatch-issue	20260308-0003	wow/completed/20260305-0255_session_user-attribution-mismatch-issue
20260305-src	20260305-src_set-bootstrapper-logging-alignment	20260308-0003	wow/completed/20260305-2356_src_set-bootstrapper-logging-alignment
20260306-alias	20260306-alias_generator-dissolve-into-lib-ops-usr-plan	20260308-0003	wow/completed/20260306-0200_alias_generator-dissolve-into-lib-ops-usr-plan
20260306-dev	20260306-dev_default-active-account-integration-plan	20260308-0003	wow/completed/20260306-0138_dev_default-active-account-integration-plan
20260306-dic	20260306-dic_debug-verbosity-coupling-followup-plan	20260308-0003	wow/completed/20260306-0321_dic_debug-verbosity-coupling-followup-plan
20260306-homelab	20260306-homelab_entity-playground-plan	20260308-0003	wow/completed/20260306-0151_homelab_entity-playground-plan
20260306-openai	20260306-openai_user-unk-placeholder-regression-issue	20260308-0003	wow/completed/20260306-0009_openai_user-unk-placeholder-regression-issue
20260306-src	20260306-src_dic-preexisting-failures-followup-plan	20260308-0003	wow/completed/20260306-0316_src_dic-preexisting-failures-followup-plan
20260306-workflow	20260306-workflow_parallel-orchestration-upgrade-plan	20260308-0003	wow/completed/20260306-2353_workflow_parallel-orchestration-upgrade-plan
20260307-completed	20260307-completed_close-bundle-auto-naming	20260308-0003	wow/completed/20260307-2022_completed_close-bundle-auto-naming
20260307-declarative	20260307-declarative_reconciliation-architecture	20260308-0003	wow/completed/20260307-1545_declarative_reconciliation-architecture
20260307-dev	20260307-dev_ois-openai-switch-state-drift	20260308-0003	wow/completed/20260307-1531_dev_ois-openai-switch-state-drift
20260307-export	20260307-export_summary-naming-migration-plan	20260308-0003	wow/completed/20260307-0143_export_summary-naming-migration-plan
20260307-gen	20260307-gen_aux-helper-contract-stabilization	20260308-0003	wow/completed/20260307-1540_gen_aux-helper-contract-stabilization
20260307-lib	20260307-lib_architecture-review	20260308-0003	wow/completed/20260307-1047_lib_architecture-review
20260307-mapping	20260307-mapping_apply-phase-tooling	20260308-0003	wow/completed/20260307-0130_mapping_apply-phase-tooling
20260307-multi	20260307-multi_completed-folder-module-naming-unification-plan	20260308-0003	wow/completed/20260307-2048_multi_completed-folder-module-naming-unification-plan
20260307-planning	20260307-planning_workspace-session	20260308-0003	wow/completed/20260307-0110_planning_workspace-session
20260307-ref	20260307-ref_pipeline-parity-validator-plan	20260308-0003	wow/completed/20260307-0012_ref_pipeline-parity-validator-plan
20260307-utl	20260307-utl_ref-rename-plan	20260308-0003	wow/completed/20260307-0930_utl_ref-rename-plan
20260307-workflow	20260307-workflow_checker-completed-timestamp-regression-issue	20260308-0003	wow/completed/20260307-0948_workflow_checker-completed-timestamp-regression-issue
20260307-wow	20260307-wow_root-migration-plan	20260308-0003	wow/completed/20260307-0905_wow_root-migration-plan
